Unnamed: 0,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Value,Churn Score,CLTV,LoyaltyID,Partner,Tenure,Monthly Charges,Churn,Country_United States,State_California,Quarter_Q3,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Customer Status_Churned,Customer Status_Joined,Customer Status_Stayed,Churn Category_Attitude,Churn Category_Competitor,Churn Category_Dissatisfaction,Churn Category_Other,Churn Category_Price,Churn Reason_Attitude of service provider,Churn Reason_Attitude of support person,Churn Reason_Competitor had better devices,Churn Reason_Competitor made better offer,Churn Reason_Competitor offered higher download speeds,Churn Reason_Competitor offered more data,Churn Reason_Deceased,Churn Reason_Don't know,Churn Reason_Extra data charges,Churn Reason_Lack of affordable download/upload speed,Churn Reason_Lack of self-service on Website,Churn Reason_Limited range of services,Churn Reason_Long distance charges,Churn Reason_Moved,Churn Reason_Network reliability,Churn Reason_Poor expertise of online support,Churn Reason_Poor expertise of phone support,Churn Reason_Price too high,Churn Reason_Product dissatisfaction,Churn Reason_Service dissatisfaction,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes,Lat,Long,SeniorCitizen_Dependents,Tenure_Age_Ratio,AvgMonthlyGB_StreamServices,MonthlyCharge_TotalCharges_Ratio,AvgMonthlyGB_Tenure,Total_Services_Used,Streaming_Services_Count,Internet_Phone_Bundle,Tenure_in_Years,Digital_Payments,Traditional_Payments,Monthly_Charges_Scaled,Revenue_Cluster_Low,Revenue_Cluster_Medium,Revenue_Cluster_High,Refund_to_Charges_Ratio,Extra_Data_Usage_Cost_Proportion,Lifetime_Value_per_Month,Monthly_Charges_18.25-35.5,Monthly_Charges_35.51-70.35,Monthly_Charges_70.36-89.85,Monthly_Charges_89.86-118.75,Lifetime_Value_43-85.918,Lifetime_Value_85.919-137.263,Lifetime_Value_137.264-460.95,Lifetime_Value_460.951-5996
3818,1,1,47,0,0,0,0,0,800,92091,32.99356,-117.207121,0,0,54,0,0.0,0,1,10,1,0,0,1,1,0,0,1,0,45.2,2460.55,0.0,0,0.0,2460.55,4,0,54,5435,232175,0,54,45.2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,32.99356,-117.207121,0,1.148936170212766,10,0.0183698766535937,540,4,1,0,4.5,1,0,542,0,1,0,0.0,0.0,100,0,1,0,0,0,1,0,0
5246,1,0,25,1,0,1,1,2,970,94086,37.378541,-122.020456,1,2,72,1,16.01,1,1,59,1,1,1,1,1,1,1,1,1,116.8,8456.75,0.0,0,1152.72,9609.47,3,0,52,6252,709605,1,72,116.8,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37.378541,-122.020456,0,2.88,177,0.0138114523901025,4248,9,3,1,6.0,1,0,1401,0,0,1,0.0,0.0,86,0,0,0,1,0,1,0,0
5614,1,0,58,0,0,1,0,0,29,95843,38.715498,-121.363411,0,0,5,1,18.65,0,1,10,0,0,0,0,0,0,0,1,1,68.95,351.5,0.0,0,93.25,444.75,3,0,57,5536,673767,1,5,68.95,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,38.715498,-121.363411,0,0.0862068965517241,0,0.1961593172119488,50,3,0,1,0.4166666666666667,1,0,827,1,0,0,0.0,0.0,1107,0,1,0,0,0,0,0,1
3790,1,0,32,0,0,0,0,0,490,91942,32.782501,-117.01611,0,0,72,1,2.25,1,1,16,1,1,1,0,1,0,0,1,1,101.3,7261.25,0.0,0,162.0,7423.25,3,0,53,5513,325660,0,72,101.3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,32.782501,-117.01611,0,2.25,16,0.0139507660526768,1152,6,1,1,6.0,1,0,1215,0,0,1,0.0,0.0,76,0,0,0,1,1,0,0,0
5131,1,0,39,0,0,0,0,0,558,93441,34.70434,-120.02609,0,0,56,0,0.0,0,1,19,1,1,1,1,0,0,0,1,0,45.05,2560.1,0.0,0,0.0,2560.1,3,0,37,5795,836443,0,56,45.05,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34.70434,-120.02609,0,1.435897435897436,0,0.0175969688684035,1064,4,0,0,4.666666666666667,1,0,540,0,1,0,0.0,0.0,103,0,1,0,0,0,1,0,0
4034,1,0,58,0,0,1,1,2,1092,93286,36.464635,-119.094348,1,9,71,1,27.26,1,1,12,0,1,1,0,0,1,1,1,1,95.75,6849.4,0.0,0,1935.46,8784.86,5,0,26,4865,683288,1,71,95.75,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,36.464635,-119.094348,0,1.2241379310344829,24,0.0139793266563494,852,6,2,1,5.916666666666667,1,0,1149,0,0,1,0.0,0.0,68,0,0,0,1,1,0,0,0
6392,1,0,52,0,0,1,1,1,776,94956,38.060264,-122.830646,0,0,34,0,0.0,0,1,20,1,0,1,1,1,1,1,1,0,61.25,1993.2,0.0,0,0.0,1993.2,4,0,37,3607,766766,1,34,61.25,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,38.060264,-122.830646,0,0.6538461538461539,60,0.0307294802327914,680,7,3,0,2.8333333333333335,1,0,735,0,1,0,0.0,0.0,106,0,1,0,0,0,1,0,0
508,1,0,72,0,1,0,0,0,870,92078,33.119028,-117.166036,0,0,1,1,7.77,1,1,22,0,0,0,0,0,0,0,1,1,72.1,72.1,0.0,0,7.77,79.86999999999999,4,0,50,4432,642199,0,1,72.1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,33.119028,-117.166036,0,0.0138888888888888,0,1.0,22,3,0,1,0.0833333333333333,1,0,865,1,0,0,0.0,0.0,4432,0,0,1,0,0,0,0,1
160,1,1,79,0,1,0,0,0,240,94015,37.680844,-122.48131,0,0,45,1,10.67,0,1,17,1,0,1,0,0,1,0,1,0,62.7,2791.5,0.0,0,480.15,3271.65,1,1,92,2654,692622,0,45,62.7,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,37.680844,-122.48131,0,0.569620253164557,17,0.0224610424502955,765,5,1,1,3.75,1,0,752,0,1,0,0.0,0.0,58,0,1,0,0,1,0,0,0
288,1,1,67,0,1,0,0,0,637,95037,37.161544,-121.649371,0,0,1,0,0.0,0,1,9,0,0,0,0,0,0,0,1,1,25.1,25.1,0.0,0,0.0,25.1,3,1,85,5437,999912,0,1,25.1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,37.161544,-121.649371,0,0.0149253731343283,0,1.0,9,2,0,0,0.0833333333333333,1,0,301,1,0,0,0.0,0.0,5437,1,0,0,0,0,0,0,1
715,1,0,79,0,1,1,0,0,6,93601,37.375816,-119.739935,0,0,50,1,31.43,1,0,0,0,0,0,0,0,0,0,0,0,25.2,1306.3,0.0,0,1571.5,2877.8,3,0,61,4015,450866,1,50,25.2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37.375816,-119.739935,0,0.6329113924050633,0,0.0192911276123401,0,1,0,0,4.166666666666667,1,0,302,0,1,0,0.0,0.0,80,1,0,0,0,1,0,0,0
2447,1,0,26,1,0,1,0,0,162,96140,39.227434,-120.091806,1,1,13,1,43.56,1,1,52,0,1,1,0,1,0,0,1,0,94.1,1215.6,0.0,0,566.28,1781.88,1,1,75,2973,894652,1,13,94.1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,39.227434,-120.091806,0,0.5,52,0.0774103323461665,676,4,1,1,1.0833333333333333,1,0,1129,0,1,0,0.0,0.0,228,0,0,0,1,0,0,1,0
6128,1,0,30,0,0,1,1,2,15,93201,35.869626,-119.498771,1,1,23,1,34.91,1,1,30,0,0,0,0,1,0,0,1,1,83.75,1849.95,0.0,0,802.93,2652.88,4,0,78,3585,497281,1,23,83.75,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,35.869626,-119.498771,0,0.7666666666666667,30,0.0452714938241574,690,4,1,1,1.9166666666666667,1,0,1005,0,1,0,0.0,0.0,155,0,0,1,0,0,0,1,0
3023,1,0,22,1,0,0,0,0,466,93530,36.560498,-117.962461,0,0,3,1,3.12,0,0,0,0,0,0,0,0,0,0,0,0,19.85,57.2,0.0,0,9.36,66.56,4,0,59,5634,579990,0,3,19.85,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,36.560498,-117.962461,0,0.1363636363636363,0,0.347027972027972,0,1,0,0,0.25,1,0,238,1,0,0,0.0,0.0,1878,1,0,0,0,0,0,0,1
1405,1,0,34,0,0,1,0,0,482,95550,40.7666,-123.80458,0,0,4,1,12.43,0,0,0,0,0,0,0,0,0,0,0,0,20.35,76.35,0.0,0,49.72,126.07,1,1,81,4133,469021,1,4,20.35,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,40.7666,-123.80458,0,0.1176470588235294,0,0.266535690897184,0,1,0,0,0.3333333333333333,1,0,244,1,0,0,0.0,0.0,1033,1,0,0,0,0,0,0,1
2517,1,0,37,0,0,1,1,1,728,92060,33.309852,-116.823091,1,1,1,0,0.0,0,1,19,1,0,0,0,0,0,0,1,0,30.5,30.5,0.0,0,0.0,30.5,1,1,74,5171,910511,1,1,30.5,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,33.309852,-116.823091,0,0.027027027027027,0,1.0,19,2,0,0,0.0833333333333333,1,0,366,1,0,0,0.0,0.0,5171,1,0,0,0,0,0,0,1
3062,1,0,37,0,0,1,1,3,733,93648,36.622237,-119.521126,1,10,55,1,35.04,0,1,57,0,1,1,1,1,1,1,0,1,103.7,5656.75,0.0,20,1927.2,7603.95,3,0,65,5892,132250,1,55,103.7,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.622237,-119.521126,0,1.4864864864864864,171,0.0183320811419984,3135,7,3,1,4.583333333333333,1,0,1244,0,0,1,0.0,0.0035355990630662,107,0,0,0,1,0,1,0,0
3313,1,1,42,0,0,1,1,3,622,95358,37.612612,-121.108568,1,3,54,1,19.7,0,0,0,0,0,0,0,0,0,0,0,0,20.4,1090.6,0.0,0,1063.8,2154.3999999999996,4,0,60,6393,427626,1,54,20.4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37.612612,-121.108568,0,1.2857142857142858,0,0.0187052998349532,0,1,0,0,4.5,1,0,244,0,1,0,0.0,0.0,118,1,0,0,0,0,1,0,0
6513,1,1,64,0,0,0,0,0,366,95442,38.368744,-122.522642,0,0,26,1,37.7,0,0,0,0,0,0,0,0,0,0,0,1,19.6,471.85,21.25,0,980.2,1430.8000000000002,4,0,26,3722,240881,0,26,19.6,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,38.368744,-122.522642,0,0.40625,0,0.0415386245628907,0,2,0,0,2.1666666666666665,1,0,235,0,1,0,0.0450354985694606,0.0,143,1,0,0,0,0,0,1,0
3368,1,0,47,0,0,1,1,3,310,95503,40.737431,-124.108897,1,5,69,1,38.39,0,0,0,0,0,0,0,0,0,0,0,0,19.7,1396.9,0.0,0,2648.91,4045.81,5,0,76,4131,175194,1,69,19.7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,40.737431,-124.108897,0,1.4680851063829787,0,0.014102655880879,0,1,0,0,5.75,1,0,236,0,1,0,0.0,0.0,59,1,0,0,0,1,0,0,0
3108,1,1,23,1,0,1,1,3,640,94038,37.515556,-122.502311,1,1,37,1,43.01,0,1,51,0,0,0,0,1,1,1,1,0,91.2,3247.55,0.0,0,1591.37,4838.92,5,0,55,5263,752424,1,37,91.2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,37.515556,-122.502311,0,1.608695652173913,153,0.0280827085033332,1887,5,3,1,3.0833333333333335,1,0,1094,0,1,0,0.0,0.0,142,0,0,0,1,0,0,1,0
6795,1,0,48,0,0,1,0,0,554,90058,34.001617,-118.222274,1,5,49,1,49.58,0,0,0,0,0,0,0,0,0,0,0,0,20.45,900.9,0.0,0,2429.42,3330.32,3,0,20,6061,657294,1,49,20.45,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,34.001617,-118.222274,0,1.0208333333333333,0,0.0226995226995227,0,1,0,0,4.083333333333333,1,0,245,0,1,0,0.0,0.0,123,1,0,0,0,0,1,0,0
5757,1,1,28,1,0,1,0,0,554,90063,34.044271,-118.185237,1,9,66,1,43.77,1,1,41,1,1,1,1,1,1,1,1,0,115.8,7942.15,0.0,0,2888.82,10830.97,3,0,42,5845,263690,1,66,115.8,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34.044271,-118.185237,0,2.357142857142857,123,0.0145804347689227,2706,8,3,1,5.5,1,0,1389,0,0,1,0.0,0.0,88,0,0,0,1,0,1,0,0
7017,1,0,28,1,0,0,0,0,130,92231,32.690654,-115.431225,0,0,67,1,23.12,0,0,0,0,0,0,0,0,0,0,0,0,20.55,1343.4,30.53,0,1549.04,2861.91,5,0,72,5462,368391,0,67,20.55,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,32.690654,-115.431225,0,2.392857142857143,0,0.0152970075926753,0,1,0,0,5.583333333333333,1,0,246,0,1,0,0.0227259193092154,0.0,81,1,0,0,0,1,0,0,0
5660,1,1,33,0,0,1,1,1,807,96003,40.677649,-122.29467,1,4,20,0,0.0,0,1,22,1,0,1,1,0,0,0,1,1,39.4,825.4,0.0,0,0.0,825.4,3,0,29,3899,494013,1,20,39.4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.677649,-122.29467,0,0.6060606060606061,0,0.0477344317906469,440,5,0,0,1.6666666666666667,1,0,472,0,1,0,0.0,0.0,194,0,1,0,0,0,0,1,0
6410,1,0,31,0,0,0,1,3,872,95046,37.084697,-121.606417,0,0,43,1,30.64,1,0,0,0,0,0,0,0,0,0,0,1,25.1,1070.15,0.0,0,1317.52,2387.67,4,0,59,4797,538680,0,43,25.1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37.084697,-121.606417,0,1.3870967741935485,0,0.0234546558893613,0,2,0,0,3.5833333333333335,1,0,301,0,1,0,0.0,0.0,111,1,0,0,0,0,1,0,0
4333,1,0,37,0,0,1,0,0,957,95209,38.044523,-121.348048,1,2,55,1,5.08,1,1,9,1,0,0,0,1,0,0,1,1,89.8,4959.6,0.0,0,279.4,5239.0,3,0,42,5875,824883,1,55,89.8,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,38.044523,-121.348048,0,1.4864864864864864,9,0.0181062988950721,495,5,1,1,4.583333333333333,1,0,1077,0,0,1,0.0,0.0,106,0,0,1,0,0,1,0,0
