,Status ID,Customer ID,Count,Quarter,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
90,VLIETQ8787,5357-TZHPP,1,Q3,2,Churned,Yes,1,83,5745,Attitude,Attitude of support person
91,NYFYSH1948,0506-LVNGN,1,Q3,1,Churned,Yes,1,90,4028,Competitor,Competitor had better devices
92,PDTFUV9227,9809-IMGCQ,1,Q3,1,Churned,Yes,1,93,4458,Competitor,Competitor made better offer
93,GCZOUX5993,3254-YRILK,1,Q3,1,Churned,Yes,1,69,5683,Competitor,Competitor had better devices
94,GXKGMI7151,0529-ONKER,1,Q3,3,Churned,Yes,1,96,2099,Attitude,Attitude of support person
95,KRUSGG3413,5240-IJOQT,1,Q3,1,Churned,Yes,1,88,3348,Competitor,Competitor had better devices
96,HJNZTD2758,0661-XEYAN,1,Q3,1,Churned,Yes,1,90,3884,Competitor,Competitor had better devices
97,YBVLKY3684,2660-EMUBI,1,Q3,1,Churned,Yes,1,75,5353,Competitor,Competitor made better offer
98,ESRQXX7197,7675-OZCZG,1,Q3,3,Churned,Yes,1,77,4145,Competitor,Competitor made better offer
99,CSXVBN1186,9391-EOYLI,1,Q3,2,Churned,Yes,1,69,5374,Competitor,Competitor made better offer
100,JQJGUD4838,2761-OCIAX,1,Q3,2,Churned,Yes,1,81,2803,Competitor,Competitor made better offer
101,VYAOHK8314,3068-OMWZA,1,Q3,1,Churned,Yes,1,91,3106,Competitor,Competitor made better offer
102,SJPFHG3219,4154-AQUGT,1,Q3,1,Churned,Yes,1,82,3861,Competitor,Competitor made better offer
103,KTKRZW2795,8017-LXHFA,1,Q3,2,Churned,Yes,1,95,2740,Competitor,Competitor made better offer
104,GFBCKF4779,4248-QPAVC,1,Q3,1,Churned,Yes,1,90,3209,Competitor,Competitor made better offer
105,PYDPTI9961,4690-LLKUA,1,Q3,1,Churned,Yes,1,93,3797,Competitor,Competitor made better offer
106,TSAEFK8288,9490-DFPMD,1,Q3,2,Churned,Yes,1,90,4871,Competitor,Competitor made better offer
107,NGKOYK4579,8580-AECUZ,1,Q3,3,Churned,Yes,1,92,5001,Competitor,Competitor made better offer
108,DUFOFV5342,5047-LHVLY,1,Q3,2,Churned,Yes,1,91,3438,Competitor,Competitor made better offer
109,IURLHP3623,8375-DKEBR,1,Q3,1,Churned,Yes,1,96,3438,Competitor,Competitor had better devices
110,RGMPVH1333,7279-BUYWN,1,Q3,1,Churned,Yes,1,89,3380,Attitude,Attitude of support person
111,ZJZBTW9385,7156-MHUGY,1,Q3,1,Churned,Yes,1,76,5394,Competitor,Competitor had better devices
112,RWMXJO8516,9606-PBKBQ,1,Q3,1,Churned,Yes,1,94,4584,Attitude,Attitude of support person
113,LBUYSP5847,3536-IQCTX,1,Q3,1,Churned,Yes,1,75,2712,Competitor,Competitor had better devices
114,UCETPB6327,3132-TVFDZ,1,Q3,2,Churned,Yes,1,82,5172,Attitude,Attitude of support person
115,NDMBBV1566,8080-DDEMJ,1,Q3,2,Churned,Yes,1,79,4499,Attitude,Attitude of support person
116,DOQSUX6737,6702-OHFWR,1,Q3,3,Churned,Yes,1,91,4972,Other,Poor expertise of online support
117,ASYFCJ5371,4510-PYUSH,1,Q3,1,Churned,Yes,1,75,3110,Attitude,Attitude of support person
118,OXNSIK9764,8840-DQLGN,1,Q3,1,Churned,Yes,1,81,4745,Attitude,Attitude of support person
119,BAKYHP2433,4193-ORFCL,1,Q3,1,Churned,Yes,1,70,2740,Competitor,Competitor had better devices
120,KNXIPJ7264,7776-QWNFX,1,Q3,3,Churned,Yes,1,83,4795,Attitude,Attitude of support person
121,RVCWLF8185,6689-TCZHQ,1,Q3,3,Churned,Yes,1,65,4054,Attitude,Attitude of support person
122,VKAFNC3541,9497-QCMMS,1,Q3,1,Churned,Yes,1,81,5536,Competitor,Competitor made better offer
123,HFTBWN7962,3424-NMNBO,1,Q3,1,Churned,Yes,1,91,4739,Competitor,Competitor made better offer
124,QUEQBB6811,4514-GFCFI,1,Q3,2,Churned,Yes,1,91,5136,Attitude,Attitude of support person
125,SWBEPD5617,8000-REIQB,1,Q3,2,Churned,Yes,1,94,3208,Competitor,Competitor made better offer
126,GBWEJC6191,4795-KTRTH,1,Q3,1,Churned,Yes,1,91,4287,Competitor,Competitor made better offer
127,UBGWIJ5688,9961-JBNMK,1,Q3,1,Churned,Yes,1,87,4317,Dissatisfaction,Product dissatisfaction
128,RAATCR5739,6179-GJPSO,1,Q3,1,Churned,Yes,1,86,2833,Competitor,Competitor made better offer
129,ASREIF2648,8290-YWKHZ,1,Q3,3,Churned,Yes,1,90,5247,Competitor,Competitor made better offer
130,TTFGJI1314,8051-HJRLT,1,Q3,3,Churned,Yes,1,82,2146,Attitude,Attitude of service provider
131,BKPOCD1461,4021-RQSNY,1,Q3,3,Churned,Yes,1,72,5137,Attitude,Attitude of service provider
132,OLYISO8633,9061-TIHDA,1,Q3,1,Churned,Yes,1,90,2982,Competitor,Competitor had better devices
133,VVBOIQ7899,8699-ASUFO,1,Q3,3,Churned,Yes,1,96,4969,Attitude,Attitude of service provider
134,UPHRFQ9321,4695-WJZUE,1,Q3,1,Churned,Yes,1,80,3685,Competitor,Competitor had better devices
135,UHUHKX7283,3988-RQIXO,1,Q3,3,Churned,Yes,1,71,2371,Attitude,Attitude of service provider
136,MAYHAA9124,5931-FLJJF,1,Q3,2,Churned,Yes,1,83,3669,Attitude,Attitude of service provider
137,SRWPAH4479,3207-OYBWH,1,Q3,2,Churned,Yes,1,86,6259,Attitude,Attitude of support person
138,CSFGXZ7461,7216-EWTRS,1,Q3,1,Churned,Yes,1,65,3128,Attitude,Attitude of service provider
139,IRUBCM8937,2528-HFYZX,1,Q3,1,Churned,Yes,1,92,3266,Competitor,Competitor had better devices
140,YSQNHW3939,4140-MUHUG,1,Q3,2,Churned,Yes,1,70,3561,Attitude,Attitude of service provider
141,YRVEDJ6662,1587-FKLZB,1,Q3,1,Churned,Yes,1,96,4479,Competitor,Competitor had better devices
142,KSHTYH8518,5440-FLBQG,1,Q3,3,Churned,Yes,1,73,4708,Attitude,Attitude of service provider
143,SULHVX4272,2774-LVQUS,1,Q3,3,Churned,Yes,1,70,2596,Competitor,Competitor made better offer
144,LDZSRC9312,4612-THJBS,1,Q3,3,Churned,Yes,1,93,5605,Attitude,Attitude of service provider
145,BZOTHA9794,4094-NSEDU,1,Q3,2,Churned,Yes,1,73,4819,Competitor,Competitor made better offer
146,PRGUZN4563,1846-XWOQN,1,Q3,2,Churned,Yes,1,71,2825,Competitor,Competitor made better offer
147,HKLZCV1478,3757-NJYBX,1,Q3,2,Churned,Yes,1,65,4113,Other,Moved
148,ZETKGB4784,9898-KZQDZ,1,Q3,1,Churned,Yes,1,95,5676,Competitor,Competitor had better devices
149,YOWRZN1127,8263-JQAIK,1,Q3,3,Churned,Yes,1,77,5573,Competitor,Competitor offered more data
150,JKOZPZ9562,2205-YMZZJ,1,Q3,3,Churned,Yes,1,70,2015,Competitor,Competitor made better offer
151,LKROTI4916,1254-IZEYF,1,Q3,3,Churned,Yes,1,96,5362,Competitor,Competitor made better offer
152,GKCSSF7128,9221-OTIVJ,1,Q3,1,Churned,Yes,1,86,2292,Dissatisfaction,Product dissatisfaction
153,XDIUYI8273,5908-QMGOE,1,Q3,1,Churned,Yes,1,80,4553,Competitor,Competitor had better devices
154,DLDBDQ5267,0397-GZBBC,1,Q3,2,Churned,Yes,1,85,5390,Price,Price too high
155,DFNLYW3612,7641-EUYET,1,Q3,1,Churned,Yes,1,72,5712,Dissatisfaction,Product dissatisfaction
156,GUSWWN2723,8922-LIEGH,1,Q3,3,Churned,Yes,1,82,4078,Dissatisfaction,Poor expertise of online support
157,VWTWHI3551,8245-UMPYT,1,Q3,3,Churned,Yes,1,80,2688,Dissatisfaction,Poor expertise of phone support
158,MLIAME2436,5186-SAMNZ,1,Q3,2,Churned,Yes,1,77,3273,Price,Price too high
159,AZOBRG5279,5373-SFODM,1,Q3,2,Churned,Yes,1,82,3041,Dissatisfaction,Product dissatisfaction
160,BLGYGC8417,0022-TCJCI,1,Q3,1,Churned,Yes,1,92,2654,Dissatisfaction,Limited range of services
161,QVXGDE1955,5130-IEKQT,1,Q3,2,Churned,Yes,1,91,4283,Price,Price too high
162,OPSRYM7127,3269-ATYWD,1,Q3,1,Churned,Yes,1,65,4892,Other,Don't know
163,VTOBSS2475,0354-WYROK,1,Q3,2,Churned,Yes,1,91,4050,Other,Don't know
164,WHMAGN9981,7576-OYWBN,1,Q3,1,Churned,Yes,1,67,2930,Competitor,Competitor had better devices
165,XMTVCG9578,5539-TMZLF,1,Q3,1,Churned,Yes,1,69,5057,Competitor,Competitor had better devices
166,LQRRVK7914,3336-JORSO,1,Q3,1,Churned,Yes,1,80,3401,Dissatisfaction,Product dissatisfaction
167,YYKTKP8286,6861-XWTWQ,1,Q3,2,Churned,Yes,1,90,2487,Attitude,Attitude of support person
168,OLSDRD6772,4283-FUTGF,1,Q3,3,Churned,Yes,1,65,3715,Dissatisfaction,Network reliability
169,GLHBMS9445,2397-BRLOM,1,Q3,1,Churned,Yes,1,91,3443,Other,Don't know
170,EILNQQ8528,8510-AWCXC,1,Q3,1,Churned,Yes,1,65,3269,Attitude,Attitude of support person
171,WNXLVS2993,8225-BTJAU,1,Q3,1,Churned,Yes,1,87,3856,Competitor,Competitor had better devices
172,NYJFHW7796,1724-BQUHA,1,Q3,2,Churned,Yes,1,66,2718,Attitude,Attitude of support person
173,FPSYNF8781,4826-XTSOH,1,Q3,1,Churned,Yes,1,96,4843,Competitor,Competitor had better devices
174,GESSJF8356,2408-WITXK,1,Q3,1,Churned,Yes,1,92,3244,Other,Deceased
175,FMLBHH5729,2634-HCZGT,1,Q3,1,Churned,Yes,1,77,5271,Other,Moved
176,VTJDEX8111,7503-QQRVF,1,Q3,1,Churned,Yes,1,81,2076,Competitor,Competitor had better devices
177,YYGAYD8174,0709-TVGUR,1,Q3,1,Churned,Yes,1,69,3145,Competitor,Competitor had better devices
178,UJAKVE4757,3001-CBHLQ,1,Q3,1,Churned,Yes,1,79,3966,Attitude,Attitude of support person
179,YGDYLM3696,4102-OQUPX,1,Q3,3,Churned,Yes,1,91,5429,Competitor,Competitor made better offer
180,NWOCDY5117,3999-QGRJH,1,Q3,1,Churned,Yes,1,88,3068,Dissatisfaction,Product dissatisfaction
181,BDNZEP8637,2454-RPBRZ,1,Q3,3,Churned,Yes,1,90,2709,Dissatisfaction,Service dissatisfaction
182,ZDLWJE6447,2265-CYWIV,1,Q3,1,Churned,Yes,1,77,4708,Dissatisfaction,Network reliability
183,VZADJT8545,4550-VBOFE,1,Q3,1,Churned,Yes,1,91,5005,Competitor,Competitor had better devices
184,MEMRMJ4356,7409-KIUTL,1,Q3,3,Churned,Yes,1,72,5345,Competitor,Competitor made better offer
185,HJKLMA9526,1732-VHUBQ,1,Q3,3,Churned,Yes,1,82,4457,Competitor,Competitor made better offer
186,SZGROJ4121,0679-IDSTG,1,Q3,1,Churned,Yes,1,87,4568,Competitor,Competitor had better devices
187,QCSXTN9661,8802-UNOJF,1,Q3,1,Churned,Yes,1,78,5565,Competitor,Competitor had better devices
188,SNTULH2543,6313-GIDIT,1,Q3,2,Churned,Yes,1,65,6280,Price,Price too high
189,JIALZK3136,2845-AFFTX,1,Q3,1,Churned,Yes,1,76,4726,Dissatisfaction,Product dissatisfaction
190,UDEIDF8384,2815-CPTUL,1,Q3,2,Churned,Yes,1,89,3684,Price,Price too high
191,TAZIIE2293,1891-FZYSA,1,Q3,1,Churned,Yes,1,82,6363,Competitor,Competitor had better devices
192,RSLPGZ3116,9685-WKZGT,1,Q3,3,Churned,Yes,1,70,2075,Price,Extra data charges
193,BWIGFU7688,6022-UGGSO,1,Q3,1,Churned,Yes,1,90,2091,Competitor,Competitor had better devices
194,FTVVAS5955,3923-CSIHK,1,Q3,3,Churned,Yes,1,94,5746,Other,Poor expertise of online support
195,VZQCST4865,3677-IYRBF,1,Q3,1,Churned,Yes,1,90,4002,Attitude,Attitude of support person
196,FXNVTU2368,8118-LSUEL,1,Q3,1,Churned,Yes,1,79,5507,Dissatisfaction,Product dissatisfaction
197,ECLOFC6599,5277-ZLOOR,1,Q3,3,Churned,Yes,1,86,5512,Dissatisfaction,Network reliability
198,ZJIHVP8161,4248-HCETZ,1,Q3,3,Churned,Yes,1,73,2174,Attitude,Attitude of support person
199,RPWFIE8295,9174-FKWZE,1,Q3,1,Churned,Yes,1,78,3848,Dissatisfaction,Limited range of services
200,GWOGFA3219,5307-DZCVC,1,Q3,3,Churned,Yes,1,74,2431,Price,Extra data charges
201,OBKDXT9542,8679-JOEVF,1,Q3,1,Churned,Yes,1,87,5556,Price,Price too high
202,KGNDGG2198,4803-AXVYP,1,Q3,1,Churned,Yes,1,91,3474,Dissatisfaction,Service dissatisfaction
203,TANVLV9354,5649-ANRML,1,Q3,3,Churned,Yes,1,90,4486,Other,Poor expertise of online support
204,GJMRPD3844,7395-IGJOS,1,Q3,2,Churned,Yes,1,79,3443,Competitor,Competitor made better offer
205,HQJSAW5585,7890-VYYWG,1,Q3,1,Churned,Yes,1,89,3766,Competitor,Competitor had better devices
206,SBPQZT1788,9907-SWKKF,1,Q3,1,Churned,Yes,1,65,4842,Competitor,Competitor had better devices
207,RYETBH5689,6397-JNZZG,1,Q3,1,Churned,Yes,1,85,2573,Competitor,Competitor had better devices
208,SHSAMU7385,7779-LGOVN,1,Q3,1,Churned,Yes,1,84,4990,Dissatisfaction,Limited range of services
209,IMQUSF4318,9710-ZUSHQ,1,Q3,1,Churned,Yes,1,92,5849,Price,Lack of affordable download/upload speed
210,KTLAWK3535,3902-FOIGH,1,Q3,1,Churned,Yes,1,68,3967,Dissatisfaction,Product dissatisfaction
211,WXIDKJ6776,3318-OSATS,1,Q3,2,Churned,Yes,1,91,2080,Other,Don't know
212,VNWIYN6229,2636-ALXXZ,1,Q3,2,Churned,Yes,1,74,2151,Dissatisfaction,Poor expertise of online support
213,JLVBMG7762,9885-CSMWE,1,Q3,1,Churned,Yes,1,67,2139,Dissatisfaction,Product dissatisfaction
214,MLSGNH2254,8058-JMEQO,1,Q3,3,Churned,Yes,1,95,3543,Competitor,Competitor made better offer
215,UJOHNQ7569,7657-DYEPJ,1,Q3,3,Churned,Yes,1,82,2645,Price,Lack of affordable download/upload speed
216,IFGIEA2183,8276-MQBYC,1,Q3,2,Churned,Yes,1,81,6204,Price,Long distance charges
217,JRLQUR9679,6015-VVHHE,1,Q3,3,Churned,Yes,1,96,2516,Dissatisfaction,Service dissatisfaction
218,IYNPCS6121,2516-VQRRV,1,Q3,3,Churned,Yes,1,65,3350,Price,Long distance charges
219,KARYIL3361,7580-UGXNC,1,Q3,1,Churned,Yes,1,96,3016,Price,Extra data charges
220,GLORIN3552,5178-LMXOP,1,Q3,1,Churned,Yes,1,70,5795,Price,Price too high
221,YZWMVP5778,7056-IMHCC,1,Q3,1,Churned,Yes,1,94,5884,Price,Price too high
222,QJXLKJ8461,8749-JMNKX,1,Q3,1,Churned,Yes,1,83,4788,Dissatisfaction,Limited range of services
223,AZBMHB8615,0917-EZOLA,1,Q3,3,Churned,Yes,1,74,5925,Price,Extra data charges
224,ZMTEBU3414,8414-MYSHR,1,Q3,1,Churned,Yes,1,78,2834,Dissatisfaction,Network reliability
225,JJVSZW5217,4988-IQIGL,1,Q3,3,Churned,Yes,1,92,4403,Attitude,Attitude of support person
226,SVCHBR8227,4706-AXVKM,1,Q3,2,Churned,Yes,1,67,5118,Price,Extra data charges
227,SWXDXW4785,5889-JTMUL,1,Q3,3,Churned,Yes,1,92,5863,Price,Price too high
228,NUBHVC8823,9026-RNUJS,1,Q3,1,Churned,Yes,1,81,4618,Dissatisfaction,Product dissatisfaction
229,KNJGIY6922,1624-NALOJ,1,Q3,1,Churned,Yes,1,88,2960,Other,Moved
230,ZVVYTH4696,6210-KBBPI,1,Q3,1,Churned,Yes,1,93,2313,Competitor,Competitor had better devices
231,IFSZMK5817,2260-USTRB,1,Q3,1,Churned,Yes,1,67,2767,Competitor,Competitor offered more data
232,GYKUCZ2182,8623-TMRBY,1,Q3,2,Churned,Yes,1,74,6245,Competitor,Competitor offered more data
233,ESENLN4676,6900-PXRMS,1,Q3,1,Churned,Yes,1,91,3157,Dissatisfaction,Product dissatisfaction
234,SPIUGT8219,3346-BRMIS,1,Q3,2,Churned,Yes,1,92,2167,Dissatisfaction,Service dissatisfaction
235,NJUASX5737,2722-JMONI,1,Q3,1,Churned,Yes,1,76,4989,Dissatisfaction,Limited range of services
236,AQUIJH2632,7579-OOPEC,1,Q3,1,Churned,Yes,1,78,5461,Competitor,Competitor had better devices
237,HIZMOD6653,1771-OADNZ,1,Q3,3,Churned,Yes,1,95,2151,Price,Extra data charges
238,OLRKHZ9318,0612-RTZZA,1,Q3,2,Churned,Yes,1,87,4628,Price,Price too high
239,QCQNXK9295,4433-JCGCG,1,Q3,1,Churned,Yes,1,88,2436,Competitor,Competitor made better offer
240,NAWENF2838,9488-HGMJH,1,Q3,3,Churned,Yes,1,85,5287,Competitor,Competitor made better offer
241,BMOISN8356,4818-QIUFN,1,Q3,1,Churned,Yes,1,95,4997,Attitude,Attitude of support person
242,SYWNYE4947,6961-VCPMC,1,Q3,3,Churned,Yes,1,75,4876,Competitor,Competitor offered more data
