Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,CLTV,Partner,Tenure,Monthly Charges,Country_United States,State_California,Quarter_Q3,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes,Lat,Long,SeniorCitizen_Dependents,Tenure_Age_Ratio,AvgMonthlyGB_StreamServices,MonthlyCharge_TotalCharges_Ratio,AvgMonthlyGB_Tenure,Total_Services_Used,Streaming_Services_Count,Internet_Phone_Bundle,Tenure_in_Years,Digital_Payments,Traditional_Payments,Monthly_Charges_Scaled,Revenue_Cluster_Low,Revenue_Cluster_Medium,Revenue_Cluster_High,Refund_to_Charges_Ratio,Extra_Data_Usage_Cost_Proportion,Lifetime_Value_per_Month,Monthly_Charges_18.25-35.5,Monthly_Charges_35.51-70.35,Monthly_Charges_70.36-89.85,Monthly_Charges_89.86-118.75,Lifetime_Value_43-85.918,Lifetime_Value_85.919-137.263,Lifetime_Value_137.264-460.95,Lifetime_Value_460.951-5996,Customer ID
1,0,52,0,0,1,1,1,776,94956,38.060264,-122.830646,0,0,34,0,0.0,0,1,20,1,0,1,1,1,1,1,1,0,61.25,1993.2,0.0,0,0.0,1993.2,4,3607,1,34,61.25,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,38.060264,-122.830646,0,0.6538461538461539,60,0.0307294802327914,680,7,3,0,2.8333333333333335,1,0,735,0,1,0,0.0,0.0,106,0,1,0,0,0,1,0,0,0020-JDNXP
1,0,72,0,1,0,0,0,870,92078,33.119028,-117.166036,0,0,1,1,7.77,1,1,22,0,0,0,0,0,0,0,1,1,72.1,72.1,0.0,0,7.77,79.86999999999999,4,4432,0,1,72.1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,33.119028,-117.166036,0,0.0138888888888888,0,1.0,22,3,0,1,0.0833333333333333,1,0,865,1,0,0,0.0,0.0,4432,0,0,1,0,0,0,0,1,0021-IKXGC
1,1,79,0,1,0,0,0,240,94015,37.680844,-122.48131,0,0,45,1,10.67,0,1,17,1,0,1,0,0,1,0,1,0,62.7,2791.5,0.0,0,480.15,3271.65,1,2654,0,45,62.7,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,37.680844,-122.48131,0,0.569620253164557,17,0.0224610424502955,765,5,1,1,3.75,1,0,752,0,1,0,0.0,0.0,58,0,1,0,0,1,0,0,0,0022-TCJCI
1,1,67,0,1,0,0,0,637,95037,37.161544,-121.649371,0,0,1,0,0.0,0,1,9,0,0,0,0,0,0,0,1,1,25.1,25.1,0.0,0,0.0,25.1,3,5437,0,1,25.1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,37.161544,-121.649371,0,0.0149253731343283,0,1.0,9,2,0,0,0.0833333333333333,1,0,301,1,0,0,0.0,0.0,5437,1,0,0,0,0,0,0,1,0023-HGHWL
1,0,79,0,1,1,0,0,6,93601,37.375816,-119.739935,0,0,50,1,31.43,1,0,0,0,0,0,0,0,0,0,0,0,25.2,1306.3,0.0,0,1571.5,2877.8,3,4015,1,50,25.2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,37.375816,-119.739935,0,0.6329113924050633,0,0.0192911276123401,0,1,0,0,4.166666666666667,1,0,302,0,1,0,0.0,0.0,80,1,0,0,0,1,0,0,0,0023-UYUPN
1,0,26,1,0,1,0,0,162,96140,39.227434,-120.091806,1,1,13,1,43.56,1,1,52,0,1,1,0,1,0,0,1,0,94.1,1215.6,0.0,0,566.28,1781.88,1,2973,1,13,94.1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,39.227434,-120.091806,0,0.5,52,0.0774103323461665,676,4,1,1,1.0833333333333333,1,0,1129,0,1,0,0.0,0.0,228,0,0,0,1,0,0,1,0,0023-XUOPT
1,0,30,0,0,1,1,2,15,93201,35.869626,-119.498771,1,1,23,1,34.91,1,1,30,0,0,0,0,1,0,0,1,1,83.75,1849.95,0.0,0,802.93,2652.88,4,3585,1,23,83.75,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,35.869626,-119.498771,0,0.7666666666666667,30,0.0452714938241574,690,4,1,1,1.9166666666666667,1,0,1005,0,1,0,0.0,0.0,155,0,0,1,0,0,0,1,0,0027-KWYKW
1,0,22,1,0,0,0,0,466,93530,36.560498,-117.962461,0,0,3,1,3.12,0,0,0,0,0,0,0,0,0,0,0,0,19.85,57.2,0.0,0,9.36,66.56,4,5634,0,3,19.85,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,36.560498,-117.962461,0,0.1363636363636363,0,0.347027972027972,0,1,0,0,0.25,1,0,238,1,0,0,0.0,0.0,1878,1,0,0,0,0,0,0,1,0030-FNXPP
1,0,34,0,0,1,0,0,482,95550,40.7666,-123.80458,0,0,4,1,12.43,0,0,0,0,0,0,0,0,0,0,0,0,20.35,76.35,0.0,0,49.72,126.07,1,4133,1,4,20.35,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,40.7666,-123.80458,0,0.1176470588235294,0,0.266535690897184,0,1,0,0,0.3333333333333333,1,0,244,1,0,0,0.0,0.0,1033,1,0,0,0,0,0,0,1,0031-PVLZI
1,0,37,0,0,1,1,1,728,92060,33.309852,-116.823091,1,1,1,0,0.0,0,1,19,1,0,0,0,0,0,0,1,0,30.5,30.5,0.0,0,0.0,30.5,1,5171,1,1,30.5,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,33.309852,-116.823091,0,0.027027027027027,0,1.0,19,2,0,0,0.0833333333333333,1,0,366,1,0,0,0.0,0.0,5171,1,0,0,0,0,0,0,1,0032-PGELS
1,0,37,0,0,1,1,3,733,93648,36.622237,-119.521126,1,10,55,1,35.04,0,1,57,0,1,1,1,1,1,1,0,1,103.7,5656.75,0.0,20,1927.2,7603.95,3,5892,1,55,103.7,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,36.622237,-119.521126,0,1.4864864864864864,171,0.0183320811419984,3135,7,3,1,4.583333333333333,1,0,1244,0,0,1,0.0,0.0035355990630662,107,0,0,0,1,0,1,0,0,0036-IHMOT
1,1,42,0,0,1,1,3,622,95358,37.612612,-121.108568,1,3,54,1,19.7,0,0,0,0,0,0,0,0,0,0,0,0,20.4,1090.6,0.0,0,1063.8,2154.3999999999996,4,6393,1,54,20.4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,37.612612,-121.108568,0,1.2857142857142858,0,0.0187052998349532,0,1,0,0,4.5,1,0,244,0,1,0,0.0,0.0,118,1,0,0,0,0,1,0,0,0040-HALCW
1,1,64,0,0,0,0,0,366,95442,38.368744,-122.522642,0,0,26,1,37.7,0,0,0,0,0,0,0,0,0,0,0,1,19.6,471.85,21.25,0,980.2,1430.8000000000002,4,3722,0,26,19.6,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,38.368744,-122.522642,0,0.40625,0,0.0415386245628907,0,2,0,0,2.1666666666666665,1,0,235,0,1,0,0.0450354985694606,0.0,143,1,0,0,0,0,0,1,0,0042-JVWOJ
1,0,47,0,0,1,1,3,310,95503,40.737431,-124.108897,1,5,69,1,38.39,0,0,0,0,0,0,0,0,0,0,0,0,19.7,1396.9,0.0,0,2648.91,4045.81,5,4131,1,69,19.7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,40.737431,-124.108897,0,1.4680851063829787,0,0.014102655880879,0,1,0,0,5.75,1,0,236,0,1,0,0.0,0.0,59,1,0,0,0,1,0,0,0,0042-RLHYP
1,1,23,1,0,1,1,3,640,94038,37.515556,-122.502311,1,1,37,1,43.01,0,1,51,0,0,0,0,1,1,1,1,0,91.2,3247.55,0.0,0,1591.37,4838.92,5,5263,1,37,91.2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,37.515556,-122.502311,0,1.608695652173913,153,0.0280827085033332,1887,5,3,1,3.0833333333333335,1,0,1094,0,1,0,0.0,0.0,142,0,0,0,1,0,0,1,0,0048-LUMLS
1,0,48,0,0,1,0,0,554,90058,34.001617,-118.222274,1,5,49,1,49.58,0,0,0,0,0,0,0,0,0,0,0,0,20.45,900.9,0.0,0,2429.42,3330.32,3,6061,1,49,20.45,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,34.001617,-118.222274,0,1.0208333333333333,0,0.0226995226995227,0,1,0,0,4.083333333333333,1,0,245,0,1,0,0.0,0.0,123,1,0,0,0,0,1,0,0,0048-PIHNL
1,1,28,1,0,1,0,0,554,90063,34.044271,-118.185237,1,9,66,1,43.77,1,1,41,1,1,1,1,1,1,1,1,0,115.8,7942.15,0.0,0,2888.82,10830.97,3,5845,1,66,115.8,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,34.044271,-118.185237,0,2.357142857142857,123,0.0145804347689227,2706,8,3,1,5.5,1,0,1389,0,0,1,0.0,0.0,88,0,0,0,1,0,1,0,0,0052-DCKON
1,0,28,1,0,0,0,0,130,92231,32.690654,-115.431225,0,0,67,1,23.12,0,0,0,0,0,0,0,0,0,0,0,0,20.55,1343.4,30.53,0,1549.04,2861.91,5,5462,0,67,20.55,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,32.690654,-115.431225,0,2.392857142857143,0,0.0152970075926753,0,1,0,0,5.583333333333333,1,0,246,0,1,0,0.0227259193092154,0.0,81,1,0,0,0,1,0,0,0,0052-YNYOT
1,0,31,0,0,0,1,3,872,95046,37.084697,-121.606417,0,0,43,1,30.64,1,0,0,0,0,0,0,0,0,0,0,1,25.1,1070.15,0.0,0,1317.52,2387.67,4,4797,0,43,25.1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,37.084697,-121.606417,0,1.3870967741935485,0,0.0234546558893613,0,2,0,0,3.5833333333333335,1,0,301,0,1,0,0.0,0.0,111,1,0,0,0,0,1,0,0,0057-QBUQH
1,0,37,0,0,1,0,0,957,95209,38.044523,-121.348048,1,2,55,1,5.08,1,1,9,1,0,0,0,1,0,0,1,1,89.8,4959.6,0.0,0,279.4,5239.0,3,5875,1,55,89.8,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,38.044523,-121.348048,0,1.4864864864864864,9,0.0181062988950721,495,5,1,1,4.583333333333333,1,0,1077,0,0,1,0.0,0.0,106,0,0,1,0,0,1,0,0,0058-EVZWM
1,0,60,0,0,1,0,0,554,90003,33.964131,-118.272783,1,4,59,1,16.39,1,1,14,1,1,0,0,1,0,0,1,1,94.75,5597.65,0.0,0,967.01,6564.66,3,5238,1,59,94.75,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,33.964131,-118.272783,0,0.9833333333333332,14,0.0169267460452154,826,5,1,1,4.916666666666667,1,0,1137,0,0,1,0.0,0.0,88,0,0,0,1,0,1,0,0,0060-FUALY
1,0,48,0,0,1,1,3,437,90255,33.97803,-118.217141,1,3,12,1,19.28,0,0,0,0,0,0,0,0,0,0,0,0,20.3,224.5,0.0,0,231.36,455.86,5,5190,1,12,20.3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,33.97803,-118.217141,0,0.25,0,0.0904231625835189,0,1,0,0,1.0,1,0,243,1,0,0,0.0,0.0,432,1,0,0,0,0,0,1,0,0064-SUDOG
1,1,60,0,0,1,1,3,1097,92398,35.013299,-116.834092,1,7,27,1,25.26,1,1,23,0,0,0,0,0,0,0,1,1,75.75,1929.0,0.0,0,682.0200000000001,2611.02,3,4994,1,27,75.75,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,35.013299,-116.834092,0,0.45,0,0.0392690513219284,621,3,0,1,2.25,1,0,909,0,1,0,0.0,0.0,184,0,0,1,0,0,0,1,0,0064-YIJGF
1,1,69,0,1,0,0,0,854,92129,32.961064,-117.134917,0,0,2,1,43.99,0,1,27,1,0,0,0,0,0,0,1,1,49.25,91.1,0.0,0,87.98,179.07999999999998,2,3475,0,2,49.25,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,32.961064,-117.134917,0,0.0289855072463768,0,0.5406147091108672,54,4,0,1,0.1666666666666666,1,0,591,1,0,0,0.0,0.0,1737,0,1,0,0,0,0,0,1,0067-DKWBL
1,1,31,0,0,1,1,3,893,95405,38.439696,-122.668817,1,1,25,1,23.69,1,0,0,0,0,0,0,0,0,0,0,0,25.5,630.6,44.42,0,592.25,1178.43,3,5230,1,25,25.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,38.439696,-122.668817,0,0.8064516129032258,0,0.0404376784015223,0,1,0,0,2.0833333333333335,1,0,306,0,1,0,0.070440849984142,0.0,209,1,0,0,0,0,0,1,0,0071-NDAFP
1,1,57,0,0,0,1,1,1010,91042,34.296574,-118.244839,0,0,29,0,0.0,0,1,21,1,1,1,1,0,0,0,1,1,45.0,1242.45,12.26,0,0.0,1230.19,4,3290,0,29,45.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,34.296574,-118.244839,0,0.5087719298245614,0,0.0362187613183629,609,5,0,0,2.4166666666666665,1,0,540,0,1,0,0.0098676003058473,0.0,113,0,1,0,0,0,1,0,0,0076-LVEPS
1,1,19,1,0,1,0,0,1041,93291,36.391777,-119.372842,1,5,72,1,32.36,1,1,52,0,1,1,1,1,1,1,1,1,85.15,6316.2,0.0,0,2329.92,8646.119999999999,3,6322,1,72,85.15,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,36.391777,-119.372842,0,3.789473684210526,156,0.0134812070548747,3744,8,3,1,6.0,1,0,1021,0,0,1,0.0,0.0,87,0,0,1,0,0,1,0,0,0078-XZMHT
1,0,64,0,0,0,0,0,541,95240,38.123544,-121.159078,0,0,14,1,24.04,0,1,12,0,1,0,0,0,0,0,1,0,51.45,727.85,0.0,0,336.56,1064.41,3,4298,0,14,51.45,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,38.123544,-121.159078,0,0.21875,0,0.070687641684413,168,2,0,1,1.1666666666666667,1,0,617,0,1,0,0.0,0.0,307,0,1,0,0,0,0,1,0,0080-EMYVY
1,1,54,0,0,0,0,0,136,94515,38.629618,-122.593216,0,0,1,1,42.95,0,1,9,0,0,0,0,0,0,0,1,1,44.3,44.3,0.0,0,42.95,87.25,5,4427,0,1,44.3,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,38.629618,-122.593216,0,0.0185185185185185,0,1.0,9,3,0,1,0.0833333333333333,1,0,531,1,0,0,0.0,0.0,4427,0,1,0,0,0,0,0,1,0082-LDZUE
1,1,50,0,0,0,0,0,318,95230,37.956963,-120.863055,0,0,29,1,2.05,0,1,17,0,0,0,1,1,1,1,0,1,94.2,2607.6,0.0,20,59.45,2687.0499999999997,5,4561,0,29,94.2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,37.956963,-120.863055,0,0.58,51,0.0361251725724804,493,6,3,1,2.4166666666666665,1,0,1130,0,1,0,0.0,0.0076698880196349,157,0,0,0,1,0,0,1,0,0082-OQIQY
1,0,35,0,0,1,1,3,206,96107,38.42528,-119.475741,1,1,39,1,24.38,1,1,53,0,0,0,1,1,1,1,1,1,99.95,3767.4,0.0,0,950.82,4718.22,3,4447,1,39,99.95,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,38.42528,-119.475741,0,1.1142857142857143,159,0.0265302330519721,2067,7,3,1,3.25,1,0,1199,0,1,0,0.0,0.0,114,0,0,0,1,0,1,0,0,0089-IIQKO
1,0,72,0,1,0,0,0,696,93023,34.581308,-118.931948,0,0,40,1,44.14,0,1,23,0,0,0,0,1,1,0,1,1,91.55,3673.6,0.0,0,1765.6,5439.2,3,5742,0,40,91.55,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,34.581308,-118.931948,0,0.5555555555555556,46,0.0249210583623693,920,5,2,1,3.3333333333333335,1,0,1098,0,1,0,0.0,0.0,143,0,0,0,1,0,0,1,0,0093-EXYQL
1,1,51,0,0,0,0,0,256,92241,33.832799,-116.250973,0,0,40,1,37.69,1,1,15,0,1,1,0,1,1,1,1,1,104.5,4036.85,0.0,0,1507.6,5544.45,1,2832,0,40,104.5,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,33.832799,-116.250973,0,0.7843137254901961,45,0.0258865204305337,600,7,3,1,3.3333333333333335,1,0,1254,0,0,1,0.0,0.0,70,0,0,0,1,1,0,0,0,0093-XWZFY
1,0,30,0,0,1,0,0,449,94937,38.099323,-122.945723,1,10,6,1,42.66,1,1,85,0,0,0,0,0,0,0,1,0,50.35,314.55,0.0,0,255.96,570.51,3,3442,1,6,50.35,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,38.099323,-122.945723,0,0.2,0,0.160069941185821,510,2,0,1,0.5,1,0,604,1,0,0,0.0,0.0,573,0,1,0,0,0,0,0,1,0096-BXERS
1,1,58,0,0,0,0,0,893,95404,38.526941,-122.709096,0,0,30,1,2.64,1,1,15,1,0,0,0,0,1,1,1,1,64.5,1888.45,0.0,0,79.2,1967.65,3,5039,0,30,64.5,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,38.526941,-122.709096,0,0.5172413793103449,30,0.0341549948370356,450,6,2,1,2.5,0,1,774,0,1,0,0.0,0.0,167,0,1,0,0,0,0,1,0,0096-FCPUF
1,1,26,1,0,0,0,0,863,95131,37.387027,-121.897775,0,0,27,1,20.66,0,0,0,0,0,0,0,0,0,0,0,1,19.4,529.8,0.0,0,557.82,1087.62,5,3792,0,27,19.4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,37.387027,-121.897775,0,1.0384615384615383,0,0.0366175915439788,0,2,0,0,2.25,1,0,232,0,1,0,0.0,0.0,140,1,0,0,0,0,0,1,0,0098-BOWSO
1,1,66,0,1,1,0,0,1078,90744,33.782068,-118.262263,1,3,70,1,39.49,1,1,28,0,1,1,0,1,1,0,1,1,104.8,7308.95,6.11,0,2764.3,10067.14,5,5291,1,70,104.8,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,33.782068,-118.262263,0,1.0606060606060606,56,0.0143385848856538,1960,6,2,1,5.833333333333333,1,0,1257,0,0,1,0.0008359613898029,0.0,75,0,0,0,1,1,0,0,0,0100-DUVFC
1,0,20,1,0,1,0,0,622,95357,37.670526,-120.877572,1,10,57,1,8.01,1,1,73,0,1,1,1,1,1,1,1,1,109.4,6252.7,0.0,0,456.57,6709.2699999999995,5,6026,1,57,109.4,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,37.670526,-120.877572,0,2.85,219,0.0174964415372559,4161,8,3,1,4.75,1,0,1312,0,0,1,0.0,0.0,105,0,0,0,1,0,1,0,0,0103-CSITQ
1,1,61,0,0,1,0,0,854,92113,32.697098,-117.116587,1,10,58,1,18.37,0,1,18,0,0,1,0,0,0,0,1,0,50.3,2878.55,10.23,0,1065.46,3933.78,5,5232,1,58,50.3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,32.697098,-117.116587,0,0.9508196721311476,0,0.0174740754893957,1044,3,0,1,4.833333333333333,1,0,603,0,1,0,0.0035538726094735,0.0,90,0,1,0,0,0,1,0,0,0104-PPXDV
