Unnamed: 0_demographics,Customer ID,Count_demographics,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Unnamed: 0_location,Location ID,Count_location,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Unnamed: 0,Service ID,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Unnamed: 0_status,Status ID,Count_status,Quarter_status,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Unnamed: 0_customerc,LoyaltyID,Senior Citizen_customerc,Partner,Dependents_customerc,Tenure,Phone Service_customerc,Multiple Lines_customerc,Internet Service_customerc,Online Security_customerc,Online Backup_customerc,Device Protection,Tech Support,Streaming TV_customerc,Streaming Movies_customerc,Contract_customerc,Paperless Billing_customerc,Payment Method_customerc,Monthly Charges,Total Charges_customerc,Churn
3818,0017-DINOC,1,Male,47,No,No,No,No,0,3818,KODDBX6834,1,United States,California,Rancho Santa Fe,92091,"32.99356, -117.207121",32.99356,-117.207121,3818,SSFFALWVF6595,1,Q3,No,0,54,,No,0.0,No,Yes,Cable,10,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,3818,QTUNJU1418,1,Q3,4,Stayed,No,0,54,5435,,,2002,232175,No,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,No
5246,0017-IUDMW,1,Female,25,Yes,No,Yes,Yes,2,5246,YJPVWU9693,1,United States,California,Sunnyvale,94086,"37.378541, -122.020456",37.378541,-122.020456,5246,ASAISRVFW6124,1,Q3,Yes,2,72,,Yes,16.01,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,5246,WVKQQF7472,1,Q3,3,Stayed,No,0,52,6252,,,4206,709605,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,No
5614,0018-NYROU,1,Female,58,No,No,Yes,No,0,5614,SMSNAG1749,1,United States,California,Antelope,95843,"38.715498, -121.363411",38.715498,-121.363411,5614,TAYTLPOBL8428,1,Q3,No,0,5,,Yes,18.65,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,5614,KONWNJ2235,1,Q3,3,Stayed,No,0,57,5536,,,4776,673767,No,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,351.5,No
3790,0019-EFAEP,1,Female,32,No,No,No,No,0,3790,EKWNGQ2388,1,United States,California,La Mesa,91942,"32.782501, -117.01611",32.782501,-117.01611,3790,OPHFKLNAJ7455,1,Q3,No,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,3790,XDOEFP3192,1,Q3,3,Stayed,No,0,53,5513,,,1956,325660,No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,No
5131,0019-GFNTW,1,Female,39,No,No,No,No,0,5131,NTQGQM3219,1,United States,California,Los Olivos,93441,"34.70434, -120.02609",34.70434,-120.02609,5131,XUURNRASW9237,1,Q3,No,0,56,,No,0.0,No,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,5131,VLDZUZ4821,1,Q3,3,Stayed,No,0,37,5795,,,4029,836443,No,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,No
4034,0020-INWCK,1,Female,58,No,No,Yes,Yes,2,4034,EZOTAE8257,1,United States,California,Woodlake,93286,"36.464635, -119.094348",36.464635,-119.094348,4034,KIINPUHJN2997,1,Q3,Yes,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,4034,RPZQUI8563,1,Q3,5,Stayed,No,0,26,4865,,,2346,683288,No,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,No
6392,0020-JDNXP,1,Female,52,No,No,Yes,Yes,1,6392,XDUUAY7185,1,United States,California,Point Reyes Station,94956,"38.060264, -122.830646",38.060264,-122.830646,6392,IVDKEAMLS1854,1,Q3,No,0,34,,No,0.0,No,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,6392,FRAIWG4696,1,Q3,4,Stayed,No,0,37,3607,,,6020,766766,No,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,No
508,0021-IKXGC,1,Female,72,No,Yes,No,No,0,508,ECXKAT1983,1,United States,California,San Marcos,92078,"33.119028, -117.166036",33.119028,-117.166036,508,VCLRRWATN8639,1,Q3,No,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.86999999999999,508,RBBOLA3673,1,Q3,4,Joined,No,0,50,4432,,,345,642199,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,No
160,0022-TCJCI,1,Male,79,No,Yes,No,No,0,160,NLZTDD4996,1,United States,California,Daly City,94015,"37.680844, -122.48131",37.680844,-122.48131,160,OJVGALBYR6847,1,Q3,No,0,45,,Yes,10.67,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,160,BLGYGC8417,1,Q3,1,Churned,Yes,1,92,2654,Dissatisfaction,Limited range of services,2529,692622,Yes,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,Yes
288,0023-HGHWL,1,Male,67,No,Yes,No,No,0,288,OHGGLF8287,1,United States,California,Morgan Hill,95037,"37.161544, -121.649371",37.161544,-121.649371,288,QQGUIQPBG6544,1,Q3,No,0,1,,No,0.0,No,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,288,TWXZYP3298,1,Q3,3,Churned,Yes,1,85,5437,Competitor,Competitor made better offer,4396,999912,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,25.1,Yes
715,0023-UYUPN,1,Female,79,No,Yes,Yes,No,0,715,CRTWPE6825,1,United States,California,Ahwahnee,93601,"37.375816, -119.739935",37.375816,-119.739935,715,NRKWUABCZ3899,1,Q3,No,0,50,,Yes,31.43,Yes,No,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,715,XAGDPI1541,1,Q3,3,Stayed,No,0,61,4015,,,2432,450866,Yes,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,No
2447,0023-XUOPT,1,Female,26,Yes,No,Yes,No,0,2447,SCPICM6938,1,United States,California,Carnelian Bay,96140,"39.227434, -120.091806",39.227434,-120.091806,2447,MRXCIOLAP8918,1,Q3,Yes,1,13,,Yes,43.56,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,2447,AVPPBN5615,1,Q3,1,Churned,Yes,1,75,2973,Other,Don't know,6599,894652,No,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,Yes
6128,0027-KWYKW,1,Female,30,No,No,Yes,Yes,2,6128,JTKTXY4539,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626,-119.498771,6128,XAKMECHBS4123,1,Q3,Yes,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,6128,VSFUFI1719,1,Q3,4,Stayed,No,0,78,3585,,,5594,497281,No,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,No
3023,0030-FNXPP,1,Female,22,Yes,No,No,No,0,3023,GFNSGA8937,1,United States,California,Keeler,93530,"36.560498, -117.962461",36.560498,-117.962461,3023,MAVTBOPTY8347,1,Q3,No,0,3,,Yes,3.12,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,3023,TUNPBZ1339,1,Q3,4,Joined,No,0,59,5634,,,757,579990,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,No
1405,0031-PVLZI,1,Female,34,No,No,Yes,No,0,1405,AMKYEL7268,1,United States,California,Korbel,95550,"40.7666, -123.80458",40.7666,-123.80458,1405,LXTNULOOW7351,1,Q3,No,0,4,Offer E,Yes,12.43,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,1405,YJZQLI2714,1,Q3,1,Churned,Yes,1,81,4133,Price,Long distance charges,1324,469021,No,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,Yes
2517,0032-PGELS,1,Female,37,No,No,Yes,Yes,1,2517,KABKVH9541,1,United States,California,Palomar Mountain,92060,"33.309852, -116.823091",33.309852,-116.823091,2517,SNYXAIHUK1215,1,Q3,Yes,1,1,,No,0.0,No,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,2517,UOACNM5872,1,Q3,1,Churned,Yes,1,74,5171,Attitude,Attitude of service provider,6943,910511,No,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,Yes
3062,0036-IHMOT,1,Female,37,No,No,Yes,Yes,3,3062,KUKNHD7613,1,United States,California,Parlier,93648,"36.622237, -119.521126",36.622237,-119.521126,3062,BINFLKWZK5229,1,Q3,Yes,10,55,,Yes,35.04,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,3062,RTJWHZ1931,1,Q3,3,Stayed,No,0,65,5892,,,817,132250,No,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,No
3313,0040-HALCW,1,Male,42,No,No,Yes,Yes,3,3313,XUHLGD7778,1,United States,California,Modesto,95358,"37.612612, -121.108568",37.612612,-121.108568,3313,IQNCFJCPD3423,1,Q3,Yes,3,54,,Yes,19.7,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.3999999999996,3313,PCPTTK5596,1,Q3,4,Stayed,No,0,60,6393,,,1216,427626,No,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,No
6513,0042-JVWOJ,1,Male,64,No,No,No,No,0,6513,FQNWEM6776,1,United States,California,Glen Ellen,95442,"38.368744, -122.522642",38.368744,-122.522642,6513,ZKRMTEDPY5525,1,Q3,No,0,26,Offer C,Yes,37.7,No,No,,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8000000000002,6513,JYORKP4836,1,Q3,4,Stayed,No,0,26,3722,,,6221,240881,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.6,471.85,No
3368,0042-RLHYP,1,Female,47,No,No,Yes,Yes,3,3368,OKAYJI7378,1,United States,California,Eureka,95503,"40.737431, -124.108897",40.737431,-124.108897,3368,YYAQEMCMZ2412,1,Q3,Yes,5,69,,Yes,38.39,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,3368,DHTDBH7277,1,Q3,5,Stayed,No,0,76,4131,,,1303,175194,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,No
3108,0048-LUMLS,1,Male,23,Yes,No,Yes,Yes,3,3108,RRMOOJ9478,1,United States,California,Moss Beach,94038,"37.515556, -122.502311",37.515556,-122.502311,3108,HPHZCROJQ5877,1,Q3,Yes,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,3108,SLJMIG7132,1,Q3,5,Stayed,No,0,55,5263,,,888,752424,No,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,No
6795,0048-PIHNL,1,Female,48,No,No,Yes,No,0,6795,AXEACK4676,1,United States,California,Los Angeles,90058,"34.001617, -118.222274",34.001617,-118.222274,6795,DPTPPNRJW4416,1,Q3,Yes,5,49,Offer B,Yes,49.58,No,No,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,6795,TRTMLW9965,1,Q3,3,Stayed,No,0,20,6061,,,6657,657294,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,No
5757,0052-DCKON,1,Male,28,Yes,No,Yes,No,0,5757,CPJCID9344,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,5757,XTORKEKIW9144,1,Q3,Yes,9,66,,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,115.8,7942.15,0.0,0,2888.82,10830.97,5757,KXLEJS3592,1,Q3,3,Stayed,No,0,42,5845,,,5009,263690,No,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,No
7017,0052-YNYOT,1,Female,28,Yes,No,No,No,0,7017,OJIXHX2528,1,United States,California,Calexico,92231,"32.690654, -115.431225",32.690654,-115.431225,7017,PPVUAIJZB1271,1,Q3,No,0,67,,Yes,23.12,No,No,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,7017,JEUUQO4866,1,Q3,5,Stayed,No,0,72,5462,,,7000,368391,No,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,No
5660,0056-EPFBG,1,Male,33,No,No,Yes,Yes,1,5660,FHWKJH5986,1,United States,California,Redding,96003,"40.677649, -122.29467",40.677649,-122.29467,5660,SJTWAURKW9127,1,Q3,Yes,4,20,,No,0.0,No,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,5660,YAUJEE4374,1,Q3,3,Stayed,No,0,29,3899,,,4845,494013,No,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,825.4,No
6410,0057-QBUQH,1,Female,31,No,No,No,Yes,3,6410,TLSLBN3355,1,United States,California,San Martin,95046,"37.084697, -121.606417",37.084697,-121.606417,6410,TEKIYEXHS8666,1,Q3,No,0,43,,Yes,30.64,Yes,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,6410,NFIIPW2488,1,Q3,4,Stayed,No,0,59,4797,,,6053,538680,No,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,No
4333,0058-EVZWM,1,Female,37,No,No,Yes,No,0,4333,TQWKKC5515,1,United States,California,Stockton,95209,"38.044523, -121.348048",38.044523,-121.348048,4333,SDXFBYFFJ1786,1,Q3,Yes,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,4333,PSZSGW2216,1,Q3,3,Stayed,No,0,42,5875,,,2796,824883,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,No
5728,0060-FUALY,1,Female,60,No,No,Yes,No,0,5728,NYEINK1845,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,5728,EKXLEWPYS1543,1,Q3,Yes,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,5728,FDMSKY6865,1,Q3,3,Stayed,No,0,26,5238,,,4958,103699,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75,5597.65,No
6817,0064-SUDOG,1,Female,48,No,No,Yes,Yes,3,6817,QGETNA5184,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,6817,NESMWQYTD4445,1,Q3,Yes,3,12,,Yes,19.28,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,6817,VSFPIF7436,1,Q3,5,Stayed,No,0,57,5190,,,6688,674807,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,No
4971,0064-YIJGF,1,Male,60,No,No,Yes,Yes,3,4971,WCEQKR7558,1,United States,California,Yermo,92398,"35.013299, -116.834092",35.013299,-116.834092,4971,RUPKUQHRJ8776,1,Q3,Yes,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.0200000000001,2611.02,4971,VXLWWG6467,1,Q3,3,Stayed,No,0,46,4994,,,3786,899444,No,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929,No
