,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
50,0727-BMPLR,1,Female,66,No,Yes,No,No,0
51,0947-MUGVO,1,Male,71,No,Yes,Yes,No,0
52,0781-LKXBR,1,Male,65,No,Yes,No,No,0
53,1907-UBQFC,1,Male,69,No,Yes,No,No,0
54,6513-EECDB,1,Male,75,No,Yes,Yes,No,0
55,7074-IEVOJ,1,Female,75,No,Yes,No,No,0
56,4750-ZRXIU,1,Female,68,No,Yes,No,No,0
57,7028-DVOIQ,1,Male,71,No,Yes,No,No,0
58,4208-UFFGW,1,Male,80,No,Yes,No,No,0
59,9889-TMAHG,1,Male,66,No,Yes,No,No,0
60,8919-FYFQZ,1,Male,73,No,Yes,Yes,No,0
61,6646-QVXLR,1,Male,77,No,Yes,Yes,No,0
62,9369-XFEHK,1,Female,76,No,Yes,Yes,No,0
63,1374-DMZUI,1,Female,65,No,Yes,No,No,0
64,1989-PRJHP,1,Male,75,No,Yes,Yes,No,0
65,4822-RVYBB,1,Male,75,No,Yes,No,No,0
66,4184-TJFAN,1,Female,68,No,Yes,Yes,No,0
67,4145-UQXUQ,1,Female,71,No,Yes,No,No,0
68,1236-WFCDV,1,Male,74,No,Yes,No,No,0
69,1271-SJBGZ,1,Male,77,No,Yes,No,No,0
70,4441-NIHPT,1,Female,73,No,Yes,No,No,0
71,8999-BOHSE,1,Female,68,No,Yes,No,No,0
72,7029-RPUAV,1,Male,74,No,Yes,Yes,No,0
73,8111-SLLHI,1,Male,65,No,Yes,Yes,No,0
74,5293-WXJAK,1,Female,73,No,Yes,Yes,No,0
75,4086-YQSNZ,1,Female,74,No,Yes,Yes,No,0
76,8399-YNDCH,1,Male,80,No,Yes,No,No,0
77,5565-FILXA,1,Female,76,No,Yes,No,No,0
78,4187-CINZD,1,Female,73,No,Yes,No,No,0
79,6818-WOBHJ,1,Female,70,No,Yes,Yes,No,0
80,9134-CEQMF,1,Male,75,No,Yes,Yes,No,0
81,8519-IMDHU,1,Male,74,No,Yes,Yes,No,0
82,3372-KWFBM,1,Male,76,No,Yes,No,No,0
83,7206-GZCDC,1,Female,75,No,Yes,No,No,0
84,1768-ZAIFU,1,Female,74,No,Yes,No,No,0
85,3793-MMFUH,1,Female,73,No,Yes,No,No,0
86,6567-HOOPW,1,Female,69,No,Yes,No,No,0
87,8621-MNIHH,1,Female,75,No,Yes,Yes,No,0
88,5419-CONWX,1,Female,65,No,Yes,No,No,0
89,7024-OHCCK,1,Female,77,No,Yes,No,No,0
90,5357-TZHPP,1,Male,67,No,Yes,No,No,0
91,0506-LVNGN,1,Female,78,No,Yes,No,No,0
92,9809-IMGCQ,1,Male,65,No,Yes,No,No,0
93,3254-YRILK,1,Male,74,No,Yes,No,No,0
94,0529-ONKER,1,Male,70,No,Yes,No,No,0
95,5240-IJOQT,1,Male,69,No,Yes,No,No,0
96,0661-XEYAN,1,Female,76,No,Yes,No,No,0
97,2660-EMUBI,1,Male,71,No,Yes,No,No,0
98,7675-OZCZG,1,Female,76,No,Yes,No,No,0
99,9391-EOYLI,1,Male,77,No,Yes,Yes,No,0
100,2761-OCIAX,1,Male,74,No,Yes,No,No,0
101,3068-OMWZA,1,Male,77,No,Yes,No,No,0
102,4154-AQUGT,1,Male,76,No,Yes,Yes,No,0
103,8017-LXHFA,1,Female,77,No,Yes,No,No,0
104,4248-QPAVC,1,Female,80,No,Yes,Yes,No,0
105,4690-LLKUA,1,Male,68,No,Yes,No,No,0
106,9490-DFPMD,1,Female,79,No,Yes,No,No,0
107,8580-AECUZ,1,Male,65,No,Yes,No,No,0
108,5047-LHVLY,1,Male,68,No,Yes,No,No,0
109,8375-DKEBR,1,Female,72,No,Yes,No,No,0
110,7279-BUYWN,1,Female,66,No,Yes,No,No,0
111,7156-MHUGY,1,Male,68,No,Yes,No,No,0
112,9606-PBKBQ,1,Male,69,No,Yes,Yes,No,0
113,3536-IQCTX,1,Male,76,No,Yes,Yes,No,0
114,3132-TVFDZ,1,Male,70,No,Yes,Yes,No,0
115,8080-DDEMJ,1,Male,71,No,Yes,No,No,0
116,6702-OHFWR,1,Male,75,No,Yes,No,No,0
117,4510-PYUSH,1,Female,67,No,Yes,No,No,0
118,8840-DQLGN,1,Female,65,No,Yes,Yes,No,0
119,4193-ORFCL,1,Female,80,No,Yes,No,No,0
120,7776-QWNFX,1,Male,71,No,Yes,Yes,No,0
121,6689-TCZHQ,1,Female,70,No,Yes,No,No,0
122,9497-QCMMS,1,Male,73,No,Yes,No,No,0
123,3424-NMNBO,1,Male,78,No,Yes,Yes,No,0
124,4514-GFCFI,1,Female,76,No,Yes,No,No,0
125,8000-REIQB,1,Female,73,No,Yes,No,No,0
126,4795-KTRTH,1,Female,68,No,Yes,Yes,No,0
127,9961-JBNMK,1,Male,79,No,Yes,No,No,0
128,6179-GJPSO,1,Female,67,No,Yes,No,No,0
129,8290-YWKHZ,1,Female,69,No,Yes,Yes,No,0
130,8051-HJRLT,1,Female,72,No,Yes,No,No,0
131,4021-RQSNY,1,Male,75,No,Yes,Yes,No,0
132,9061-TIHDA,1,Male,67,No,Yes,Yes,No,0
133,8699-ASUFO,1,Male,72,No,Yes,Yes,No,0
134,4695-WJZUE,1,Female,68,No,Yes,No,No,0
135,3988-RQIXO,1,Female,68,No,Yes,No,No,0
136,5931-FLJJF,1,Male,75,No,Yes,Yes,No,0
137,3207-OYBWH,1,Male,74,No,Yes,Yes,No,0
138,7216-EWTRS,1,Female,78,No,Yes,Yes,No,0
139,2528-HFYZX,1,Male,66,No,Yes,Yes,No,0
140,4140-MUHUG,1,Female,73,No,Yes,No,No,0
141,1587-FKLZB,1,Male,79,No,Yes,Yes,No,0
142,5440-FLBQG,1,Male,69,No,Yes,Yes,No,0
143,2774-LVQUS,1,Female,65,No,Yes,Yes,No,0
144,4612-THJBS,1,Female,68,No,Yes,No,No,0
145,4094-NSEDU,1,Female,79,No,Yes,No,No,0
146,1846-XWOQN,1,Female,80,No,Yes,No,No,0
147,3757-NJYBX,1,Male,77,No,Yes,Yes,No,0
148,9898-KZQDZ,1,Female,65,No,Yes,Yes,No,0
149,8263-JQAIK,1,Male,66,No,Yes,No,No,0
150,2205-YMZZJ,1,Male,75,No,Yes,No,No,0
151,1254-IZEYF,1,Female,74,No,Yes,No,No,0
152,9221-OTIVJ,1,Female,80,No,Yes,No,No,0
153,5908-QMGOE,1,Male,74,No,Yes,No,No,0
154,0397-GZBBC,1,Male,70,No,Yes,Yes,No,0
155,7641-EUYET,1,Male,76,No,Yes,Yes,No,0
156,8922-LIEGH,1,Female,72,No,Yes,No,No,0
157,8245-UMPYT,1,Female,66,No,Yes,No,No,0
158,5186-SAMNZ,1,Male,75,No,Yes,No,No,0
159,5373-SFODM,1,Male,65,No,Yes,Yes,No,0
160,0022-TCJCI,1,Male,79,No,Yes,No,No,0
161,5130-IEKQT,1,Male,73,No,Yes,No,No,0
162,3269-ATYWD,1,Male,79,No,Yes,No,No,0
163,0354-WYROK,1,Female,70,No,Yes,Yes,No,0
164,7576-OYWBN,1,Male,71,No,Yes,No,No,0
165,5539-TMZLF,1,Male,69,No,Yes,No,No,0
166,3336-JORSO,1,Female,70,No,Yes,No,No,0
167,6861-XWTWQ,1,Male,71,No,Yes,Yes,No,0
168,4283-FUTGF,1,Male,67,No,Yes,No,No,0
169,2397-BRLOM,1,Male,67,No,Yes,Yes,No,0
170,8510-AWCXC,1,Female,69,No,Yes,No,No,0
171,8225-BTJAU,1,Male,75,No,Yes,No,No,0
172,1724-BQUHA,1,Male,67,No,Yes,No,No,0
173,4826-XTSOH,1,Male,66,No,Yes,Yes,No,0
174,2408-WITXK,1,Female,67,No,Yes,No,No,0
175,2634-HCZGT,1,Male,71,No,Yes,Yes,No,0
176,7503-QQRVF,1,Male,74,No,Yes,Yes,No,0
177,0709-TVGUR,1,Female,70,No,Yes,No,No,0
178,3001-CBHLQ,1,Male,76,No,Yes,Yes,No,0
179,4102-OQUPX,1,Male,67,No,Yes,Yes,No,0
180,3999-QGRJH,1,Male,80,No,Yes,No,No,0
181,2454-RPBRZ,1,Female,67,No,Yes,Yes,No,0
182,2265-CYWIV,1,Female,68,No,Yes,Yes,No,0
183,4550-VBOFE,1,Male,69,No,Yes,Yes,No,0
184,7409-KIUTL,1,Female,80,No,Yes,No,No,0
185,1732-VHUBQ,1,Female,73,No,Yes,Yes,No,0
186,0679-IDSTG,1,Female,73,No,Yes,Yes,No,0
187,8802-UNOJF,1,Male,65,No,Yes,No,No,0
188,6313-GIDIT,1,Male,73,No,Yes,No,No,0
189,2845-AFFTX,1,Male,78,No,Yes,Yes,No,0
190,2815-CPTUL,1,Male,68,No,Yes,No,No,0
191,1891-FZYSA,1,Male,65,No,Yes,Yes,No,0
192,9685-WKZGT,1,Male,67,No,Yes,No,No,0
193,6022-UGGSO,1,Female,70,No,Yes,No,No,0
194,3923-CSIHK,1,Female,69,No,Yes,Yes,No,0
195,3677-IYRBF,1,Female,73,No,Yes,No,No,0
196,8118-LSUEL,1,Male,74,No,Yes,No,No,0
197,5277-ZLOOR,1,Female,78,No,Yes,No,No,0
198,4248-HCETZ,1,Male,77,No,Yes,Yes,No,0
199,9174-FKWZE,1,Female,70,No,Yes,No,No,0
200,5307-DZCVC,1,Female,78,No,Yes,Yes,No,0
201,8679-JOEVF,1,Female,75,No,Yes,No,No,0
202,4803-AXVYP,1,Female,75,No,Yes,No,No,0
203,5649-ANRML,1,Male,76,No,Yes,No,No,0
204,7395-IGJOS,1,Male,70,No,Yes,Yes,No,0
205,7890-VYYWG,1,Male,67,No,Yes,Yes,No,0
206,9907-SWKKF,1,Female,69,No,Yes,No,No,0
207,6397-JNZZG,1,Female,70,No,Yes,Yes,No,0
208,7779-LGOVN,1,Male,74,No,Yes,Yes,No,0
209,9710-ZUSHQ,1,Female,77,No,Yes,No,No,0
210,3902-FOIGH,1,Male,66,No,Yes,Yes,No,0
211,3318-OSATS,1,Male,70,No,Yes,No,No,0
212,2636-ALXXZ,1,Female,68,No,Yes,No,No,0
213,9885-CSMWE,1,Female,65,No,Yes,No,No,0
214,8058-JMEQO,1,Female,76,No,Yes,No,No,0
215,7657-DYEPJ,1,Male,73,No,Yes,No,No,0
216,8276-MQBYC,1,Male,70,No,Yes,No,No,0
217,6015-VVHHE,1,Female,68,No,Yes,No,No,0
218,2516-VQRRV,1,Female,77,No,Yes,No,No,0
219,7580-UGXNC,1,Female,73,No,Yes,No,No,0
220,5178-LMXOP,1,Male,71,No,Yes,Yes,No,0
221,7056-IMHCC,1,Male,69,No,Yes,Yes,No,0
222,8749-JMNKX,1,Male,80,No,Yes,Yes,No,0
223,0917-EZOLA,1,Male,66,No,Yes,Yes,No,0
224,8414-MYSHR,1,Male,79,No,Yes,No,No,0
225,4988-IQIGL,1,Male,80,No,Yes,No,No,0
226,4706-AXVKM,1,Female,78,No,Yes,No,No,0
227,5889-JTMUL,1,Female,67,No,Yes,Yes,No,0
228,9026-RNUJS,1,Male,73,No,Yes,No,No,0
229,1624-NALOJ,1,Male,75,No,Yes,No,No,0
230,6210-KBBPI,1,Male,67,No,Yes,No,No,0
231,2260-USTRB,1,Female,75,No,Yes,No,No,0
232,8623-TMRBY,1,Male,80,No,Yes,Yes,No,0
233,6900-PXRMS,1,Male,72,No,Yes,Yes,No,0
234,3346-BRMIS,1,Female,70,No,Yes,Yes,No,0
235,2722-JMONI,1,Female,73,No,Yes,Yes,No,0
236,7579-OOPEC,1,Female,75,No,Yes,Yes,No,0
237,1771-OADNZ,1,Male,70,No,Yes,Yes,No,0
238,0612-RTZZA,1,Female,77,No,Yes,No,No,0
239,4433-JCGCG,1,Male,80,No,Yes,Yes,No,0
240,9488-HGMJH,1,Female,78,No,Yes,No,No,0
241,4818-QIUFN,1,Female,69,No,Yes,No,No,0
242,6961-VCPMC,1,Male,71,No,Yes,Yes,No,0
243,4424-TKOPW,1,Male,70,No,Yes,No,No,0
244,4201-JMNGR,1,Female,66,No,Yes,No,No,0
245,1866-RZZQS,1,Male,77,No,Yes,No,No,0
246,8631-NBHFZ,1,Male,71,No,Yes,Yes,No,0
247,4958-XCBDQ,1,Male,68,No,Yes,No,No,0
248,8337-UPOAQ,1,Male,71,No,Yes,Yes,No,0
249,6712-OAWRH,1,Female,79,No,Yes,No,No,0
250,5914-DVBWJ,1,Female,80,No,Yes,No,No,0
251,8644-XLFBW,1,Male,65,No,Yes,No,No,0
252,1833-VGRUM,1,Female,70,No,Yes,No,No,0
253,8374-XGEJJ,1,Male,68,No,Yes,Yes,No,0
254,6946-LMSQS,1,Male,80,No,Yes,Yes,No,0
255,4039-HEUNW,1,Male,77,No,Yes,Yes,No,0
256,0812-WUPTB,1,Male,65,No,Yes,Yes,No,0
257,2403-BCASL,1,Male,66,No,Yes,Yes,No,0
258,3871-IKPYH,1,Male,70,No,Yes,No,No,0
259,1304-NECVQ,1,Female,69,No,Yes,No,No,0
260,5655-JSMZM,1,Male,66,No,Yes,No,No,0
261,4505-EXZHB,1,Female,75,No,Yes,No,No,0
262,8972-HJWNV,1,Female,75,No,Yes,Yes,No,0
263,2860-RANUS,1,Female,67,No,Yes,No,No,0
264,0406-BPDVR,1,Female,75,No,Yes,Yes,No,0
265,5276-KQWHG,1,Female,74,No,Yes,No,No,0
266,9667-EQRXU,1,Female,74,No,Yes,No,No,0
267,0946-CLJTI,1,Male,67,No,Yes,Yes,No,0
268,0324-BRPCJ,1,Female,74,No,Yes,Yes,No,0
269,9189-JWSHV,1,Female,69,No,Yes,Yes,No,0
270,0576-WNXXC,1,Male,70,No,Yes,Yes,No,0
271,5482-PLVPE,1,Female,79,No,Yes,No,No,0
272,4902-OHLSK,1,Female,76,No,Yes,No,No,0
273,0495-ZBNGW,1,Male,78,No,Yes,Yes,No,0
274,2357-COQEK,1,Female,79,No,Yes,No,No,0
275,2034-CGRHZ,1,Male,73,No,Yes,No,No,0
276,9360-AHGNL,1,Female,74,No,Yes,Yes,No,0
277,5485-WUYWF,1,Male,73,No,Yes,No,No,0
278,2632-UCGVD,1,Male,71,No,Yes,Yes,No,0
279,6425-YQLLO,1,Female,68,No,Yes,Yes,No,0
280,2091-RFFBA,1,Female,70,No,Yes,No,No,0
281,6899-PPEEA,1,Female,66,No,Yes,No,No,0
282,4597-NUCQV,1,Male,65,No,Yes,No,No,0
283,3754-DXMRT,1,Male,78,No,Yes,No,No,0
284,7130-VTEWQ,1,Female,74,No,Yes,No,No,0
285,7903-CMPEY,1,Male,78,No,Yes,Yes,No,0
286,1704-NRWYE,1,Female,79,No,Yes,No,No,0
287,7481-ATQQS,1,Female,76,No,Yes,No,No,0
288,0023-HGHWL,1,Male,67,No,Yes,No,No,0
289,1792-UXAFY,1,Female,80,No,Yes,No,No,0
290,6161-UUUTA,1,Male,77,No,Yes,No,No,0
291,6543-XRMYR,1,Female,73,No,Yes,No,No,0
292,2479-BRAMR,1,Male,74,No,Yes,Yes,No,0
293,3714-JTVOV,1,Female,76,No,Yes,Yes,No,0
294,8580-QVLOC,1,Female,78,No,Yes,Yes,No,0
295,2012-NWRPA,1,Female,78,No,Yes,Yes,No,0
296,8808-ELEHO,1,Male,66,No,Yes,No,No,0
297,9058-CBREO,1,Female,69,No,Yes,No,No,0
298,8063-GBATB,1,Female,74,No,Yes,No,No,0
299,1069-XAIEM,1,Female,68,No,Yes,No,No,0
300,6987-XQSJT,1,Female,68,No,Yes,No,No,0
301,0722-TROQR,1,Female,68,No,Yes,No,No,0
302,6402-ZFPPI,1,Female,75,No,Yes,No,No,0
303,9965-YOKZB,1,Male,73,No,Yes,No,No,0
304,0504-HHAPI,1,Female,72,No,Yes,No,No,0
305,3791-LGQCY,1,Female,68,No,Yes,Yes,No,0
306,8166-ZZTFS,1,Female,74,No,Yes,Yes,No,0
307,2956-GGUCQ,1,Male,71,No,Yes,Yes,No,0
308,2778-OCLGR,1,Male,75,No,Yes,Yes,No,0
309,7067-KSAZT,1,Female,66,No,Yes,Yes,No,0
310,9300-AGZNL,1,Male,76,No,Yes,No,No,0
311,1112-CUNAO,1,Female,67,No,Yes,No,No,0
312,3389-YGYAI,1,Female,79,No,Yes,No,No,0
313,3070-DVEYC,1,Male,78,No,Yes,No,No,0
314,5707-ORNDZ,1,Male,79,No,Yes,No,No,0
315,8696-JKZNU,1,Female,78,No,Yes,No,No,0
316,2055-PDADH,1,Female,71,No,Yes,No,No,0
317,2302-ANTDP,1,Female,76,No,Yes,Yes,No,0
318,5233-GEEAX,1,Male,65,No,Yes,No,No,0
319,7137-RYLPP,1,Male,75,No,Yes,Yes,No,0
320,3957-LXOLK,1,Female,75,No,Yes,No,No,0
321,5281-BUZGT,1,Male,69,No,Yes,No,No,0
322,2718-GAXQD,1,Female,68,No,Yes,Yes,Yes,3
323,3217-FZDMN,1,Female,66,No,Yes,No,No,0
324,7480-QNVZJ,1,Male,65,No,Yes,No,No,0
325,7124-UGSUR,1,Female,77,No,Yes,Yes,No,0
326,1862-SKORY,1,Female,66,No,Yes,Yes,No,0
327,4816-JBHOV,1,Male,72,No,Yes,No,No,0
328,3247-ZVOUO,1,Male,77,No,Yes,Yes,No,0
329,1268-ASBGA,1,Female,66,No,Yes,Yes,No,0
330,4713-LZDRV,1,Female,80,No,Yes,No,No,0
331,4325-NFSKC,1,Male,68,No,Yes,No,No,0
332,6502-HCJTI,1,Male,78,No,Yes,Yes,No,0
333,8258-GSTJK,1,Male,74,No,Yes,No,No,0
334,2995-UPRYS,1,Female,74,No,Yes,Yes,No,0
335,6686-YPGHK,1,Male,65,No,Yes,No,No,0
336,8020-BWHYL,1,Female,70,No,Yes,No,No,0
337,6892-XPFPU,1,Male,70,No,Yes,Yes,No,0
338,8010-EZLOU,1,Male,75,No,Yes,No,No,0
339,8062-YBDOE,1,Male,70,No,Yes,No,No,0
340,3672-YITQD,1,Male,71,No,Yes,Yes,No,0
341,8988-ECPJR,1,Female,79,No,Yes,Yes,No,0
342,3776-EKTKM,1,Female,79,No,Yes,No,No,0
343,0643-OKLRP,1,Female,73,No,Yes,Yes,No,0
344,9381-NDKME,1,Female,74,No,Yes,Yes,No,0
345,8327-LZKAS,1,Female,80,No,Yes,Yes,No,0
346,1075-BGWOH,1,Male,69,No,Yes,Yes,No,0
347,8485-GJCDN,1,Female,71,No,Yes,No,No,0
348,6029-WTIPC,1,Male,73,No,Yes,No,No,0
349,3317-HRTNN,1,Female,79,No,Yes,No,No,0
350,5569-OUICF,1,Female,67,No,Yes,Yes,No,0
351,5747-PMBSQ,1,Male,72,No,Yes,Yes,No,0
352,2982-IHMFT,1,Female,75,No,Yes,No,No,0
353,5143-EGQFK,1,Female,76,No,Yes,No,No,0
354,6168-WFVVF,1,Female,69,No,Yes,No,No,0
355,7450-NWRTR,1,Male,76,No,Yes,No,No,0
356,6005-OBZPH,1,Female,68,No,Yes,No,No,0
357,7932-WPTDS,1,Female,77,No,Yes,Yes,No,0
358,7000-WCEVQ,1,Female,67,No,Yes,No,No,0
359,5959-BELXA,1,Male,67,No,Yes,No,No,0
360,2506-TNFCO,1,Female,76,No,Yes,Yes,No,0
361,6060-DRTNL,1,Female,66,No,Yes,No,No,0
362,8473-VUVJN,1,Male,80,No,Yes,No,No,0
363,0196-VULGZ,1,Female,78,No,Yes,Yes,No,0
364,1976-CFOCS,1,Female,69,No,Yes,Yes,No,0
365,4631-OACRM,1,Male,78,No,Yes,No,No,0
366,3755-JBMNH,1,Male,78,No,Yes,Yes,No,0
367,6345-ULYRW,1,Male,68,No,Yes,Yes,No,0
368,0013-EXCHZ,1,Female,75,No,Yes,Yes,No,0
369,5550-VFRLC,1,Female,70,No,Yes,No,No,0
370,2657-ALMWY,1,Female,65,No,Yes,Yes,No,0
371,6284-AHOOQ,1,Male,71,No,Yes,No,No,0
372,2460-FPSYH,1,Female,72,No,Yes,No,No,0
373,5028-HTLJB,1,Male,69,No,Yes,No,No,0
374,0875-CABNR,1,Female,70,No,Yes,No,No,0
375,6982-UQZLY,1,Female,80,No,Yes,Yes,No,0
376,0193-ESZXP,1,Female,73,No,Yes,Yes,No,0
377,4369-HTUIF,1,Male,73,No,Yes,No,No,0
378,5287-QWLKY,1,Male,79,No,Yes,Yes,No,0
379,1891-UAWWU,1,Female,79,No,Yes,Yes,No,0
380,3096-JRDSO,1,Female,73,No,Yes,Yes,No,0
381,2398-YPMUR,1,Female,77,No,Yes,Yes,No,0
382,1265-XTECC,1,Female,68,No,Yes,Yes,No,0
383,4871-JTKJF,1,Female,70,No,Yes,No,No,0
384,1415-YFWLT,1,Female,68,No,Yes,No,No,0
385,3500-RMZLT,1,Female,76,No,Yes,No,No,0
386,2642-DTVCO,1,Male,68,No,Yes,No,No,0
387,1363-TXLSL,1,Male,80,No,Yes,Yes,No,0
388,7136-RVDTZ,1,Male,79,No,Yes,No,No,0
389,6927-WTFIV,1,Male,78,No,Yes,No,No,0
390,3398-ZOUAA,1,Male,76,No,Yes,Yes,No,0
391,4844-JJWUY,1,Female,65,No,Yes,No,No,0
392,4785-QRJHC,1,Male,80,No,Yes,Yes,No,0
393,1965-AKTSX,1,Female,65,No,Yes,No,No,0
394,7248-VZQLC,1,Female,78,No,Yes,No,No,0
395,0011-IGKFF,1,Male,78,No,Yes,Yes,No,0
396,6496-SLWHQ,1,Male,68,No,Yes,No,No,0
397,9912-GVSEQ,1,Female,73,No,Yes,Yes,No,0
398,5383-MMTWC,1,Female,75,No,Yes,Yes,No,0
399,6877-LGWXO,1,Male,66,No,Yes,Yes,No,0
400,5167-GBFRE,1,Male,73,No,Yes,No,No,0
401,1324-NLTJE,1,Female,73,No,Yes,No,No,0
402,5567-WSELE,1,Male,70,No,Yes,Yes,No,0
403,6646-VRFOL,1,Male,74,No,Yes,Yes,No,0
404,9090-SGQXL,1,Male,70,No,Yes,Yes,No,0
405,6595-YGXIT,1,Male,71,No,Yes,No,No,0
406,9835-ZIITK,1,Male,66,No,Yes,Yes,No,0
407,5649-TJHOV,1,Male,68,No,Yes,Yes,No,0
408,9253-QXKBE,1,Male,73,No,Yes,Yes,No,0
409,8775-LHDJH,1,Female,77,No,Yes,Yes,No,0
410,3097-NQYSN,1,Male,73,No,Yes,Yes,No,0
411,3565-UNOCC,1,Female,65,No,Yes,Yes,No,0
412,9190-MFJLN,1,Male,65,No,Yes,No,No,0
413,1095-JUDTC,1,Female,78,No,Yes,No,No,0
414,5385-SUIRI,1,Male,69,No,Yes,Yes,No,0
415,6328-ZPBGN,1,Female,67,No,Yes,No,No,0
416,2856-NNASM,1,Male,74,No,Yes,No,No,0
417,6769-DYBQN,1,Male,77,No,Yes,No,No,0
418,2446-BEGGB,1,Female,79,No,Yes,No,No,0
419,1496-GGSUK,1,Female,68,No,Yes,No,No,0
420,3296-SILRA,1,Female,76,No,Yes,Yes,No,0
421,5180-UCIIQ,1,Male,80,No,Yes,Yes,Yes,2
422,1977-STDKI,1,Female,72,No,Yes,No,No,0
423,5813-UECBU,1,Male,78,No,Yes,No,No,0
424,4342-HENTK,1,Female,67,No,Yes,No,No,0
425,1597-LHYNC,1,Female,74,No,Yes,No,No,0
426,8651-ENBZX,1,Female,68,No,Yes,No,No,0
427,9286-DOJGF,1,Female,66,No,Yes,Yes,No,0
428,9661-MHUMO,1,Male,71,No,Yes,Yes,Yes,1
429,8884-ADFVN,1,Male,65,No,Yes,Yes,No,0
430,2720-WGKHP,1,Male,65,No,Yes,No,No,0
431,9776-CLUJA,1,Female,69,No,Yes,Yes,No,0
432,3551-HUAZH,1,Male,68,No,Yes,No,No,0
433,8634-MPHTR,1,Male,68,No,Yes,Yes,No,0
434,2474-BRUCM,1,Male,76,No,Yes,Yes,No,0
435,0616-ATFGB,1,Male,74,No,Yes,Yes,No,0
436,7235-NXZCP,1,Male,79,No,Yes,No,No,0
437,6661-HBGWL,1,Female,69,No,Yes,No,No,0
438,9317-WZPGV,1,Female,74,No,Yes,No,No,0
439,3621-CEOVK,1,Female,71,No,Yes,Yes,No,0
440,7632-MNYOY,1,Male,69,No,Yes,No,No,0
441,9248-OJYKK,1,Male,74,No,Yes,No,No,0
442,3398-FSHON,1,Female,79,No,Yes,No,No,0
443,3319-DWOEP,1,Male,69,No,Yes,Yes,No,0
444,0818-OCPZO,1,Male,80,No,Yes,No,No,0
445,1389-CXMLU,1,Male,65,No,Yes,No,No,0
446,5561-NWEVX,1,Female,78,No,Yes,Yes,No,0
447,2272-QAGFO,1,Female,75,No,Yes,No,No,0
448,3768-NLUBH,1,Male,73,No,Yes,Yes,No,0
